Ich bin genauso alt wie meine Freundin	I am the same age as my girlfriend
I am the same age as my girlfriend	Ich bin genauso alt wie meine Freundin
Mein Kumpel ist pünktlicher als ich	My buddy is more punctual than me
My buddy is more punctual than me	Mein Kumpel ist pünktlicher als ich
Die Aufgabe ist simpel	The task is simple
The task is simple	Die Aufgabe ist simpel
Paul ist sportlich	Paul is athletic
Paul is athletic	Paul ist sportlich
Die Nachbarin ist sympathisch	The neighbor is nice
The neighbor is nice	Die Nachbarin ist sympathisch
Vergleiche mit wie und als	Compare with how and as
Compare with how and as	Vergleiche mit wie und als
wenn es keinen Unterschied gibt, vergleicht man mit (genau)so … wie	if there is no difference, compare with (exactly) like … like
if there is no difference, compare with (exactly) like … like	wenn es keinen Unterschied gibt, vergleicht man mit (genau)so … wie
wenn es einen Unterschied gibt, vergleicht man mit als	if there is a difference, compare with than
if there is a difference, compare with than	wenn es einen Unterschied gibt, vergleicht man mit als
gut, besser, am besten	good, better, the best
good, better, the best	gut, besser, am besten
viel, mehr, am meisten	much, more, most
much, more, most	viel, mehr, am meisten
gern, lieber, am liebsten	like, prefer, favorite
like, prefer, favorite	gern, lieber, am liebsten
hoch, höher, am höchsten	high, higher, highest
high, higher, highest	hoch, höher, am höchsten
Ich kann Personen und Dinge vergleichen	I can compare people and things
I can compare people and things	Ich kann Personen und Dinge vergleichen
Julian ist größer als Kara. Aber Paul ist am größten	Julian is taller than Kara. But Paul is the biggest
Julian is taller than Kara. But Paul is the biggest	Julian ist größer als Kara. Aber Paul ist am größten
Kara ist älter als Luise. Aber Julian ist am ältesten	Kara is older than Luise. But Julian is the oldest
Kara is older than Luise. But Julian is the oldest	Kara ist älter als Luise. Aber Julian ist am ältesten
Paul ist sportlicher als Julian. Aber Kara ist am sportlichsten	Paul is sportier than Julian. But Kara is the sportiest
Paul is sportier than Julian. But Kara is the sportiest	Paul ist sportlicher als Julian. Aber Kara ist am sportlichsten
Dein Laptop war teuer. Meiner war teurer	Your laptop was expensive. Mine was more expensive
Your laptop was expensive. Mine was more expensive	Dein Laptop war teuer. Meiner war teurer
Das Pferd ist schneller als die Schnecke. Die Schnecke ist langsamer als das Pferd	The horse is faster than the snail. The snail is slower than the horse
The horse is faster than the snail. The snail is slower than the horse	Das Pferd ist schneller als die Schnecke. Die Schnecke ist langsamer als das Pferd
Vergleicht euch. Was ist gleich? Was ist anders?	Compare yourselves. What's the same? What is different?
Compare yourselves. What's the same? What is different?	Vergleicht euch. Was ist gleich? Was ist anders?
Ich bin 37 Jahre alt. Cool, ich bin genauso alt wie du	I am 37 years old. Cool, I'm the same age as you
I am 37 years old. Cool, I'm the same age as you	Ich bin 37 Jahre alt. Cool, ich bin genauso alt wie du
Vergleiche deine alte Wohnung oder dein altes Haus mit deiner jetzigen Wohnung beziehungsweise deinem jetzigen Haus	Compare your old apartment or house with your current apartment or house
Compare your old apartment or house with your current apartment or house	Vergleiche deine alte Wohnung oder dein altes Haus mit deiner jetzigen Wohnung beziehungsweise deinem jetzigen Haus
Oma Gertrud ist die älteste Person in unserer Familie	Grandma Gertrud is the oldest person in our family
Grandma Gertrud is the oldest person in our family	Oma Gertrud ist die älteste Person in unserer Familie
Anton hat den größten Fernseher	Anton has the biggest TV
Anton has the biggest TV	Anton hat den größten Fernseher
Ich finde dieses Bild am schönsten	I like this picture the most
I like this picture the most	Ich finde dieses Bild am schönsten
Ich bin schnell, Marie ist schneller, aber Mila ist am schnellsten	I'm fast, Marie is faster, but Mila is the fastest
I'm fast, Marie is faster, but Mila is the fastest	Ich bin schnell, Marie ist schneller, aber Mila ist am schnellsten
Ich finde diese Couch hier am besten	I like this couch here the best
I like this couch here the best	Ich finde diese Couch hier am besten
Dieser Tee schmeckt besser als die anderen. Dieser Tee schmeckt am besten	This tea tastes better than the others. This tea tastes the best
This tea tastes better than the others. This tea tastes the best	Dieser Tee schmeckt besser als die anderen. Dieser Tee schmeckt am besten
Der Tisch ist teurer als die anderen. Der Tisch ist am teuersten	The table is more expensive than the others. The table is the most expensive
The table is more expensive than the others. The table is the most expensive	Der Tisch ist teurer als die anderen. Der Tisch ist am teuersten
Der Gepard rennt schneller als die anderen Tiere. Der Gepard rennt am schnellsten	The cheetah runs faster than the other animals. The cheetah runs the fastest
The cheetah runs faster than the other animals. The cheetah runs the fastest	Der Gepard rennt schneller als die anderen Tiere. Der Gepard rennt am schnellsten
Ich kaufe mehr als die anderen. Ich kaufe am meisten	I buy more than the others. I buy the most
I buy more than the others. I buy the most	Ich kaufe mehr als die anderen. Ich kaufe am meisten
Ich mag diesen Kuchen lieber als die anderen Kuchen. Ich mag diesen Kuchen am liebsten	I like this cake better than the other cakes. I like this cake best
I like this cake better than the other cakes. I like this cake best	Ich mag diesen Kuchen lieber als die anderen Kuchen. Ich mag diesen Kuchen am liebsten
sich von seiner besten Seite zeigen -- Anna und Simon zeigen sich heute von ihrer besten Seite und lernen sehr viel	show their best side -- Anna and Simon are showing their best side today and are learning a lot
show their best side -- Anna and Simon are showing their best side today and are learning a lot	sich von seiner besten Seite zeigen -- Anna und Simon zeigen sich heute von ihrer besten Seite und lernen sehr viel
Schau dir die Bilder an und beschreibe sie	Look at the pictures and describe them
Look at the pictures and describe them	Schau dir die Bilder an und beschreibe sie
Welche Tätigkeiten erkennst du? Was glaubst du, wer von den vier Freunden macht welche Tätigkeit am liebsten?	What activities do you recognize? What do you think, which of the four friends likes to do which activity the most?
What activities do you recognize? What do you think, which of the four friends likes to do which activity the most?	Welche Tätigkeiten erkennst du? Was glaubst du, wer von den vier Freunden macht welche Tätigkeit am liebsten?
Ich glaube, dass … Ich vermute, dass …	I believe that... I suspect that
I believe that... I suspect that	Ich glaube, dass … Ich vermute, dass …
Wer zuletzt lacht, lacht am besten. Erst am Ende sieht man, wer im Recht ist	Who laughs last, laughs best. Only at the end do you see who is right
Who laughs last, laughs best. Only at the end do you see who is right	Wer zuletzt lacht, lacht am besten. Erst am Ende sieht man, wer im Recht ist
Das Bad in der neuen Wohnung hat ein großes Fenster. Es ist heller als das alte	The bathroom in the new apartment has a large window. It's lighter than the old one
