I live with my wife Natalia;Ich wohne mit meiner Frau Natalia
She is a housewife;Sie ist eine Hausfrau
We studied together at university;Wir haben zusammen in Uni studiert
She loves hiking and learning languages;Sie liebt Wandern und Sprachen lernen
She knows English, German, Japanese, and a bit of Italian and Korean;Sie kann Englisch, Deutsch, Japanisch, und ein bisschen Italienisch und Koreanisch
We have a male cat;Wir haben einen Kater
His name is Maki, he is ginger and has only one eye;Er heißt Maki, er ist rot und hat nur ein Auge
We rescued him from a small island in Croatia;Wir haben ihn von einen kleinen Insel in Kroatien gerettet
Would you like to see a photo?;Möchten Sie ein Foto sehen?
My name is XXX, I am 34 years old;Mein Name ist XXX, ich bin 34 Jahre alt
I come from India;Ich komme aus Indien
I moved to Switzerland with my wife in 2019, and since then we have lived in Zurich;Ich bin mit meiner Frau zweitausend-neunzehn in die Schweiz umgezogen, und seitdem wohnen wir in Zürich
We have a son;Wir haben einen Sohn
He is only 4 months old and we enjoy the time with him very much;Er ist nur 4 Monate alt und wir genießen die Zeit mit ihm sehr
Finally, I would also like to donate money to charitable causes;Abschließend möchte ich auch Geld für wohltätige Zwecke spenden
There are many people who need the money and I would be happy if I can help them;Es gibt viele Menschen, die das Geld brauchen und ich würde mich freuen, wenn ich ihnen helfen kann
In summary, these are my 3 wishes;Zusammenfassend sind das meine 3 Wünsche
Write a text message to your colleague John;Schreiben Sie eine SMS an Ihren Kollegen John
You are going on vacation for a week;Sie gehen für eine Woche in die Ferien
In urgent cases, John can reach you at 0765463762;In dringenden Fällen kann John Ihnen an 0765463762 erreichen
Don't forget this information;Diese Informationen nicht vergessen
Where you are going;Wo Sie gehen
From when you are away;Ab wann sind Sie weg
When you are back;Wann sind Sie zurück
You have an appointment with your advisor;Sie haben einen Termin mit Ihrem Berater
You cannot come because your daughter had an accident;Sie können nicht kommen, weil Ihre Tochter einen Unfall hatte
Apologize;Entschuldigen
Explain why you cannot come;Erklären warum Sie nicht kommen können
Postpone appointment;Termin verschieben
Use correct salutation and polite phrasing;Korrekte Anrede und höfliche Formulierungen benutzen
Letter of application;Bewerbungsschreiben
Select;auswählen
Choice;die Wahl
Describe experiences;Erfahrungen beschreiben
Experience;die Erfahrung
Name 3 suitable skills/competencies;3 passenden Fähigkeiten/Kompetenzen nennen
Skills;Fähigkeiten
Thank and ask for an interview;Bedanken und um Bewerbungsgespräch bitten
Interview;gespräch
Where is the cinema?;wo ist das Kino?
At what time is the film showing?;Um wieviel Uhr läuft der Film?
What can one eat at the cinema?;Was kann man im Kino essen?
Who/What/Where;Wer/Was/Wo
An interesting person;eine interessante Person
What do you think about the future of transport?;Was denken Sie über die Zukunft des Transports?
What do you think about the future of working hours?;Was denken Sie über die Zukunft des Arbeitszeit?
Censorship in social networks;Zensur in sozialen Netzwerken
First name;Vorname
Last name;Nachname
Address;Address
Nationality;Nationalität
Lifelong reading;Lebenslange Lesen
Self-checkout counters in the supermarket;Self-Checkout-Kassen im Supermarkt
Which vocabulary word fits?;Welche Vokabel passt?
Vacation day;Urlaubstag
Cover letter;Anschreiben
CV;Lebenslauf
Passport photo;Passfoto
Job interview;Vorstellungsgespräch
Document;Dokument
Aptitude test;Eignungsprüfung
Certificate/Report card;Zeugnis
Professional experience;Berufserfahrung
In speech and writing;in Wort und Schrift
Learned;erlernt
To study;studieren
Personal skills;Persönliche Fähigkeiten
Unemployed;arbeitslos
Strengths;Stärken
Inappropriate;unangebracht
Solutions;Lösungen
Strengths and weaknesses;Stärken und Schwächen
Summary;Zusammenfassung
Now and then;ab und zu
Occasionally;gelegentlich
Mostly;meistens
Never;nie
Initially;anfangs
Vocabulary;Wortschatz
Notes;Notizen
No, I'm just taking a few hours off for overtime;Nein, ich bummle nur ein paar Überstunden ab
Vacation days;die Urlaubstage
Insurance;die Versicherung
Probationary period;die Probezeit
Notice period;die Kündigungsfrist
Salary expectations;die Gehaltsvorstellungen
This is protection in case one gets sick, has an accident, etc.;Das ist ein Schutz, falls man krank wird, einen Unfall hat o.ä.
The applicant would like this much money for the job;So viel Geld hätte die Bewerberin gerne für den Job
One doesn't have to come to work for at least 20 days a year;An mindestens 20 Tagen im Jahr muss man nicht zur Arbeit kommen
If one wants to leave the job, one must resign in good time;Wenn man den Job verlassen will, muss man rechtzeitig kündigen
The first months are like a test for the new employee;Die ersten Monate sind wie ein Test für den neuen Mitarbeiter
Permanent/Open-ended;unbefristet
Half-day;halbtags
Taking time off in lieu of overtime;Überstunden abbummeln
Full-time;die Vollzeit
Hired;eingestellt
Hiring/Recruitment;die Einstellung
To take an exam;eine Prüfung ablegen
Employment contract;der Arbeitsvertrag
Go to the office/agency;zum Amt gehen
Part-time;die Teilzeit
Working hours;die Arbeitszeiten
Fixed-term/Temporary;befristet
Training;das Training
Further education;die Fortbildung
To have responsibility;Verantwortung haben
Collect in the course;Sammle im Kurs
Staff/Personnel;das Personal
The application;die Bewerbung
The agenda;die Tagesordnung
Punctuality;die Pünktlichkeit
The schedule;der Zeitplan
All about the world of work;Rund um die Arbeitswelt
Wow, your professional experience is very versatile!;Wow, deine berufliche Erfahrung ist sehr vielseitig!
What's on the agenda today?;Was steht heute auf der Tagesordnung?
What is the schedule for this project?;Was ist der Zeitplan für dieses Projekt?
Punctuality is very important at work;Bei der Arbeit ist Pünktlichkeit sehr wichtig
Have you already signed the contract?;Haben Sie den Vertrag schon unterschrieben?
We don't have enough staff for this project!;Wir haben nicht genug Personal für dieses Projekt!
Which documents belong to an application?;Welche Dokumente gehören zu einer Bewerbung?
The cover letter comes before the CV;Vor dem Lebenslauf kommt das Anschreiben
Match the vocabulary words;Ordne die Vokabeln zu
Skills for different professions;Fähigkeiten für verschiedene Berufe
What are the professions called?;Wie heißen die Berufe?
Which skills are needed for that?;Welche Fähigkeiten braucht man dafür?
Discuss;Diskutiert
Diligence;Fleiß
Reliability;Zuverlässigkeit
Power/Strength;Kraft
Patience;Geduld
When you work hard, you work a lot and diligently;Wenn man ranklotzt, arbeitet man viel und fleißig
One is lazy and does not work;ist man faul und arbeitet nicht
I really had to work hard in the last few weeks;Ich musste in den letzten Wochen richtig ranklotzen
Text for the dictation;Text fürs Diktat
Develop applications;Anwendungen entwickeln
Computer science studies;Informatik-Studium
Specialist training;Fachausbildung
Enroll in IT university;IT-Hochschule einschreiben
Further education and internship;Weiterbildung und Praktikum
Know programming languages well;Programmiersprachen gut kennen
Be ready to always learn something new;bereit sein, immer etwas dazuzulernen
Have great fun coding;großen Spaß am Coden haben
Be capable of working in a team;teamfähig sein
Wrong;falsch
One can handle it very well;Man kann sehr gut damit umgehen
Direct the target group to one's own website;die Zielgruppe auf die eigene Internetseite lenken
Prepare for training/apprenticeship;auf eine Ausbildung vorbereiten
Help with a professional reorientation in case of a serious illness;Hilfe bei einer beruflichen Neu- oder Umorientierung im Falle einer schweren Krankheit
Carry out work training;Arbeitstraining durchführen
Prepare for a job in a workshop for people with disabilities;für eine Tätigkeit in einer Werkstatt für Menschen mit Behinderung vorbereiten
To have what it takes for something;das Zeug zu etwas haben
Occupational therapist;der Berufstherapeut
Web Developer;der Web-Developer
Online Marketing Manager;der Online-Marketing-Manager
I don't think so;Ich glaube nicht
Past;Vergangenheit
They should have drunk much more water;Sie hätten viel mehr Wasser trinken sollen
Maria should have studied more;Maria hätte mehr lernen müssen
You could have spoken English;Du hättest Englisch sprechen können
You surely would have wanted to come along, too;Ihr hättet sicher auch mitkommen wollen
Friedrich would have wanted to visit his parents yesterday;Friedrich hätte gestern seine Eltern besuchen wollen
I should have made a shopping list;Ich hätte eine Einkaufsliste machen sollen
You would have been allowed to call me;Du hättest mich anrufen dürfen
I wouldn't have been able to help you with this problem;Mit diesem Problem hätte ich dir nicht helfen können
Mrs. Meier should have done her tax return last month;Frau Meier hätte ihre Steuererklärung schon letzten Monat machen müssen
The talent;das Talent
