Die Bröchten werden aufgebacken	The rolls are baked
The rolls are baked	Die Bröchten werden aufgebacken
Lass uns das Essen gemeinsam zubereiten	Let's prepare the meal together
Let's prepare the meal together	Lass uns das Essen gemeinsam zubereiten
Toms Essgewohnheiten sind nicht sehr gesund	Tom's eating habits are not very healthy
Tom's eating habits are not very healthy	Toms Essgewohnheiten sind nicht sehr gesund
Georg folgt einem strengen Ernährungsplan	Georg follows a strict nutrition plan
Georg follows a strict nutrition plan	Georg folgt einem strengen Ernährungsplan
Diese Pizza hat zu viel Käse und zu wenig Tomaten drauf, deswegen möchte ich sie nicht essen	This pizza has too much cheese and not enough tomatoes on it, therefore I don't want to eat it
This pizza has too much cheese and not enough tomatoes on it, therefore I don't want to eat it	Diese Pizza hat zu viel Käse und zu wenig Tomaten drauf, deswegen möchte ich sie nicht essen
Die Männer dämpfen die Teigtaschen	The men steam the dumplings
The men steam the dumplings	Die Männer dämpfen die Teigtaschen
Sie arbeitet im Imbiss und frittiert jeden Tag Pommes	She works at the diner and fries fries every day
She works at the diner and fries fries every day	Sie arbeitet im Imbiss und frittiert jeden Tag Pommes
Ernährst du dich gesund? – Ja, ich ernähre mich gesund	Do you eat healthy? – Yes, I eat healthy
Do you eat healthy? – Yes, I eat healthy	Ernährst du dich gesund? – Ja, ich ernähre mich gesund
Folgst du einem Ernährungsplan? – Nein, ich folge keinem Ernährungsplan	Do you follow a nutrition plan? – No, I don’t follow a nutrition plan
Do you follow a nutrition plan? – No, I don’t follow a nutrition plan	Folgst du einem Ernährungsplan? – Nein, ich folge keinem Ernährungsplan
Der Bäcker backt die Brötchen im Ofen auf	The baker bakes the rolls in the oven
The baker bakes the rolls in the oven	Der Bäcker backt die Brötchen im Ofen auf
Er erwärmt das Essen in der Mikrowelle	He heats the food in the microwave
He heats the food in the microwave	Er erwärmt das Essen in der Mikrowelle
Entschuldigung, ich suche: glutenfreie/laktosefreie/regionale Produkte mit wenig Zucker	Sorry, I'm looking for: gluten-free/lactose-free/regional products with little sugar
Sorry, I'm looking for: gluten-free/lactose-free/regional products with little sugar	Entschuldigung, ich suche: glutenfreie/laktosefreie/regionale Produkte mit wenig Zucker
Diese finden Sie hinten im Regal	These you can find at the back of the shelf
These you can find at the back of the shelf	Diese finden Sie hinten im Regal
Wo sind Vitamine drin?	Where are vitamins inside?
Where are vitamins inside?	Wo sind Vitamine drin?
Wie werden Pommes zubereitet? Sie werden frittiert	How are fries prepared? They are fried
How are fries prepared? They are fried	Wie werden Pommes zubereitet? Sie werden frittiert
Was essen Veganer? Gemüse und Obst	What do vegans eat? Vegetables and fruit
What do vegans eat? Vegetables and fruit	Was essen Veganer? Gemüse und Obst
Luise ist Veganerin. Sie isst keine tierischen Produkte	Luise is vegan. She doesn't eat animal products
Luise is vegan. She doesn't eat animal products	Luise ist Veganerin. Sie isst keine tierischen Produkte
Im Kühlschrank bleibt Essen länger haltbar	In the fridge food stays longer "durable"
In the fridge food stays longer "durable"	Im Kühlschrank bleibt Essen länger haltbar
Ben ist Vegetarier. Er isst Käse, aber kein Fleisch	Ben is a vegetarian. He eats cheese but no meat
Ben is a vegetarian. He eats cheese but no meat	Ben ist Vegetarier. Er isst Käse, aber kein Fleisch
Meine Freundin ernährt sich vegan. Sie isst keine Tierprodukte	My girlfriend eats vegan. She doesn't eat animal products
My girlfriend eats vegan. She doesn't eat animal products	Meine Freundin ernährt sich vegan. Sie isst keine Tierprodukte
Pommes mag ich auch nicht, denn viel fettiges Essen ist ungesund	I don't like fries either because lots of fat food is unhealthy
I don't like fries either because lots of fat food is unhealthy	Pommes mag ich auch nicht, denn viel fettiges Essen ist ungesund
Lebensmittel werden im Kühlschrank aufbewahrt	Food is stored in the refrigerator
Food is stored in the refrigerator	Lebensmittel werden im Kühlschrank aufbewahrt
Der Koch bereitet das Gericht mit viel Liebe zu	The chef prepares the dish with a lot of love
The chef prepares the dish with a lot of love	Der Koch bereitet das Gericht mit viel Liebe zu
Viele Produkte haben Zusatzstoffe	Many products have additives
Many products have additives	Viele Produkte haben Zusatzstoffe
Schokolade hat viele Kohlenhydrate	Chocolate has many carbohydrates
Chocolate has many carbohydrates	Schokolade hat viele Kohlenhydrate
Obst enthält viele Vitamine	Fruit contains many vitamins
Fruit contains many vitamins	Obst enthält viele Vitamine
Ist das eine vegetarische Pizza?	Is this a vegetarian pizza?
Is this a vegetarian pizza?	Ist das eine vegetarische Pizza?
Das Produkt hat ein altes Datum. Es ist nicht mehr haltbar	The product has an old date. It is no longer "durable"
The product has an old date. It is no longer "durable"	Das Produkt hat ein altes Datum. Es ist nicht mehr haltbar
Waldeinsamkeit ist ruhig	"Forest solitude" is quiet
"Forest solitude" is quiet	Waldeinsamkeit ist ruhig
Ich kann keine normale Milch essen. Ich brauche laktosefreie Milch	I can't eat regular milk. I need lactose-free milk
I can't eat regular milk. I need lactose-free milk	Ich kann keine normale Milch essen. Ich brauche laktosefreie Milch
Ich kann kein normales Brot essen. Ich brauche glutenfreies Brot	I can't eat normal bread. I need gluten free bread
I can't eat normal bread. I need gluten free bread	Ich kann kein normales Brot essen. Ich brauche glutenfreies Brot
Was ist mehr als viel? "viel zu viel"	What's more than much? "way too much"
What's more than much? "way too much"	Was ist mehr als viel? "viel zu viel"
Ich kann nach Produkten im Supermarkt fragen	I can ask about products in the supermarket
I can ask about products in the supermarket	Ich kann nach Produkten im Supermarkt fragen
Ich ernähre mich gut, aber ich esse zu viel Süßes!	I eat well, but I eat too much sweets!
I eat well, but I eat too much sweets!	Ich ernähre mich gut, aber ich esse zu viel Süßes!
Ich kaufe gern Bio-Produkte. Die schmecken einfach besser!	I like buying organic products. They (that) simply taste better!
I like buying organic products. They (that) simply taste better!	Ich kaufe gern Bio-Produkte. Die schmecken einfach besser!
Ich würde mich auch gern gesünder essen	I would also like to eat healthier
I would also like to eat healthier	Ich würde mich auch gern gesünder essen
Hast du einen Ernährungsplan?	Do you have a nutrition plan?
