Das Haus ist eine richtige Bruchbude	The house is a real dump
The house is a real dump	Das Haus ist eine richtige Bruchbude
Die Garage ist im Erdgeschoss	The garage is on the ground floor
The garage is on the ground floor	Die Garage ist im Erdgeschoss
Der Vermieter hat mir einen Grundriss gegeben	The landlord gave me a floor plan
The landlord gave me a floor plan	Der Vermieter hat mir einen Grundriss gegeben
Die Zimmer sind drinnen	The rooms are indoors
The rooms are indoors	Die Zimmer sind drinnen
Der Garten ist draußen	The garden is outside
The garden is outside	Der Garten ist draußen
Das Gebäude ist sehr groß und hat viele Wohnungen	The building is very big and has many apartments
The building is very big and has many apartments	Das Gebäude ist sehr groß und hat viele Wohnungen
Die Umgebung um das Haus ist sehr grün und ruhig	The area around the house is very green and quiet
The area around the house is very green and quiet	Die Umgebung um das Haus ist sehr grün und ruhig
In meiner Nachbarschaft wohnen viele Familien	Many families live in my neighborhood
Many families live in my neighborhood	In meiner Nachbarschaft wohnen viele Familien
Im Garten hinter dem Haus ist viel Platz	There is a lot of space in the garden behind the house
There is a lot of space in the garden behind the house	Im Garten hinter dem Haus ist viel Platz
Der Bauarbeiter arbeitet auf der Baustelle	The construction worker works on the construction site
The construction worker works on the construction site	Der Bauarbeiter arbeitet auf der Baustelle
Über dem Erdgeschoss ist der 1. Stock	Above the ground floor is the 1st floor
Above the ground floor is the 1st floor	Über dem Erdgeschoss ist der 1. Stock
Die Mauer ist aus Ziegelsteinen	The wall is made of bricks
The wall is made of bricks	Die Mauer ist aus Ziegelsteinen
Die Bauarbeiter bauen das Haus	The builders build the house
The builders build the house	Die Bauarbeiter bauen das Haus
Das Haus liegt in einer ruhigen Umgebung. Die Nachbarschaft ist sehr nett	The house is in a quiet area. The neighborhood is very nice
The house is in a quiet area. The neighborhood is very nice	Das Haus liegt in einer ruhigen Umgebung. Die Nachbarschaft ist sehr nett
Das Haus ist sehr groß und hat eine Terrasse und einen Pool im Hof	The house is very big and has a terrace and a pool in the yard
The house is very big and has a terrace and a pool in the yard	Das Haus ist sehr groß und hat eine Terrasse und einen Pool im Hof
Um das Haus herum ist eine Mauer und vor dem Haus ist ein großes Tor	There is a wall around the house and a large gate in front of the house
There is a wall around the house and a large gate in front of the house	Um das Haus herum ist eine Mauer und vor dem Haus ist ein großes Tor
drinnen: schlafen, kochen, fernsehen, Computer spielen	indoors: sleeping, cooking, watching TV, playing on the computer
indoors: sleeping, cooking, watching TV, playing on the computer	drinnen: schlafen, kochen, fernsehen, Computer spielen
draußen: Fußball spielen, wandern, Fahrrad fahren, spazieren gehen	outside: playing football, hiking, cycling, going for a walk
outside: playing football, hiking, cycling, going for a walk	draußen: Fußball spielen, wandern, Fahrrad fahren, spazieren gehen
Das neue Haus ist noch ganz unmöbliert. Überlegt, wie ihr es einrichtet. Beantwortet dazu die Fragen	The new house is completely unfurnished. Think about how you set it up (plural you). Answer the questions (plural you)
The new house is completely unfurnished. Think about how you set it up (plural you). Answer the questions (plural you)	Das neue Haus ist noch ganz unmöbliert. Überlegt, wie ihr es einrichtet. Beantwortet dazu die Fragen
Die Umgebung ist sehr ruhig, es gibt keine Häuser in der Nachbarschaft	The environment is very quiet, there are no houses in the neighborhood
The environment is very quiet, there are no houses in the neighborhood	Die Umgebung ist sehr ruhig, es gibt keine Häuser in der Nachbarschaft
Die Handwerker bauen die Mauern vom Haus	The craftsmen build the walls of the house
The craftsmen build the walls of the house	Die Handwerker bauen die Mauern vom Haus
Durch das Tor kommt man in den Garten. (die Tore)	The gate leads to the garden. (gates)
The gate leads to the garden. (gates)	Durch das Tor kommt man in den Garten. (die Tore)
"ein volles Haus haben" -- viele Gäste haben	"to have a full house" -- to have many guests
"to have a full house" -- to have many guests	"ein volles Haus haben" -- viele Gäste haben
Jane hatte gestern ein volles Haus. Auf ihrer Geburtstagsparty waren alle Freunde und Freundinnen und ihre ganze Familie	Jane had a full house yesterday. At her birthday party were all her friends and her whole family
Jane had a full house yesterday. At her birthday party were all her friends and her whole family	Jane hatte gestern ein volles Haus. Auf ihrer Geburtstagsparty waren alle Freunde und Freundinnen und ihre ganze Familie
Wenn ich ein Haus nicht mieten oder bauen will, muss ich eines kaufen	If I don't want to rent or build a house, I have to buy one
If I don't want to rent or build a house, I have to buy one	Wenn ich ein Haus nicht mieten oder bauen will, muss ich eines kaufen
Meine Nachbarn sind immer sehr laut. Wir haben keine gute Nachbarschaft	My neighbors are always very noisy. We don't have a good neighborhood
My neighbors are always very noisy. We don't have a good neighborhood	Meine Nachbarn sind immer sehr laut. Wir haben keine gute Nachbarschaft
Hier gibt es alles, was man braucht. Es ist eine tolle Umgebung	Everything you need is here. It's a great environment
Everything you need is here. It's a great environment	Hier gibt es alles, was man braucht. Es ist eine tolle Umgebung
Bevor ein Haus fertig gebaut ist, ist es eine Baustelle	Before a house is built, it is a construction site
Before a house is built, it is a construction site	Bevor ein Haus fertig gebaut ist, ist es eine Baustelle
Mauern sind oft aus Ziegelsteinen	Walls are often made of brick
Walls are often made of brick	Mauern sind oft aus Ziegelsteinen
Manche träumen von einem Pool im Garten	Some dream of a pool in the garden
Some dream of a pool in the garden	Manche träumen von einem Pool im Garten
