die Liebe	love
love	die Liebe
das Vertrauen	trust
trust	das Vertrauen
Unsere Freundschaft ist platonisch.	Our friendship is platonic.
Our friendship is platonic.	Unsere Freundschaft ist platonisch.
Sie sind seit 30 Jahren zusammen.	They have been together for 30 years.
They have been together for 30 years.	Sie sind seit 30 Jahren zusammen.
Tom ist sein bester Freund.	Tom is his best friend.
Tom is his best friend.	Tom ist sein bester Freund.
Unsere Freundschaft ist mir viel wert.	Our friendship means a lot to me.
Our friendship means a lot to me.	Unsere Freundschaft ist mir viel wert.
Die Ehe beginnt jetzt.	The marriage begins now.
The marriage begins now.	Die Ehe beginnt jetzt.
Das Paar ist sehr glücklich.	The couple is very happy.
The couple is very happy.	Das Paar ist sehr glücklich.
Sie sind seit 35 Jahren in einer Beziehung.	They have been in a relationship for 35 years.
They have been in a relationship for 35 years.	Sie sind seit 35 Jahren in einer Beziehung.
Sie liebt ihn.	She loves him.
She loves him.	Sie liebt ihn.
Sie hat Vertrauen in ihn.	She trusts in him.
She trusts in him.	Sie hat Vertrauen in ihn.
Eine Scheidung ist traurig.	A divorce is sad.
A divorce is sad.	Eine Scheidung ist traurig.
Sie haben sich getrennt.	They broke up.
They broke up.	Sie haben sich getrennt.
Letzte Woche haben sie sich verlobt.	They got engaged last week.
They got engaged last week.	Letzte Woche haben sie sich verlobt.
Das Ehepaar lässt sich scheiden.	The couple gets divorced.
The couple gets divorced.	Das Ehepaar lässt sich scheiden.
Das Paar hat in der Kirche geheiratet	The couple got married in the church
The couple got married in the church	Das Paar hat in der Kirche geheiratet
Das Paar liebt sich	The couple loves each other
The couple loves each other	Das Paar liebt sich
Paul hat um meine Hand angehalten	Paul asked for my hand
Paul asked for my hand	Paul hat um meine Hand angehalten
Ich liebe Paul sehr	I love Paul very much
I love Paul very much	Ich liebe Paul sehr
Am Anfang unserer Beziehung waren wir nur Freunde	At the beginning of our relationship we were just friends
At the beginning of our relationship we were just friends	Am Anfang unserer Beziehung waren wir nur Freunde
Dann waren wir zusammen und für 3 Jahre ein Paar	Then we were together and a couple for 3 years
Then we were together and a couple for 3 years	Dann waren wir zusammen und für 3 Jahre ein Paar
Ich möchte keine Scheidung	I don't want a divorce
I don't want a divorce	Ich möchte keine Scheidung
Wir haben uns vor drei Monaten verlobt	We got engaged three months ago
We got engaged three months ago	Wir haben uns vor drei Monaten verlobt
Nun wollen wir nächstes Jahr heiraten	Now we want to get married next year
Now we want to get married next year	Nun wollen wir nächstes Jahr heiraten
Ich hoffe, wir trennen uns nie!	I hope we never break up!
I hope we never break up!	Ich hoffe, wir trennen uns nie!
Eine Scheidung ist fast immer traurig.	Divorce is almost always sad.
Divorce is almost always sad.	Eine Scheidung ist fast immer traurig.
Das Paar denkt an seine Zukunft	The couple thinks about their future
The couple thinks about their future	Das Paar denkt an seine Zukunft
Das sind ihre Trauringe	These are their wedding rings
These are their wedding rings	Das sind ihre Trauringe
Sie haben eine langjährige Freundschaft	They have a long-standing friendship
They have a long-standing friendship	Sie haben eine langjährige Freundschaft
Du kannst mir Vertrauen schenken	You can trust me
You can trust me	Du kannst mir Vertrauen schenken
Tom und Maria haben sich getrennt	Tom and Maria have split up
Tom and Maria have split up	Tom und Maria haben sich getrennt
Hast du Geschwister?	Do you have siblings?
Do you have siblings?	Hast du Geschwister?
Liebe ist meistens die Basis für eine Ehe	Love is mostly the basis for a marriage
Love is mostly the basis for a marriage	Liebe ist meistens die Basis für eine Ehe
Als sie heirateten, gab es eine große Feier	When they got married there was a big celebration
When they got married there was a big celebration	Als sie heirateten, gab es eine große Feier
Die Trauringe sind aus Gold	The wedding rings are made of gold
The wedding rings are made of gold	Die Trauringe sind aus Gold
Sie führen eine glückliche Beziehung	They are in a happy relationship
They are in a happy relationship	Sie führen eine glückliche Beziehung
Die Beiden sind verheiratet	The two are married
The two are married	Die Beiden sind verheiratet
Die Ehe beginnt mit der Hochzeit	Marriage begins with the wedding
Marriage begins with the wedding	Die Ehe beginnt mit der Hochzeit
Ich bin seit zehn Jahren verheiratet	I've been married for ten years
I've been married for ten years	Ich bin seit zehn Jahren verheiratet
Warum habt ihr euch getrennt?	Why did you separate?
Why did you separate?	Warum habt ihr euch getrennt?
Sie sind beste Freundinnen	They are best friends
They are best friends	Sie sind beste Freundinnen
Paul und Marie sind seit gestern verlobt	Paul and Marie got engaged yesterday
Paul and Marie got engaged yesterday	Paul und Marie sind seit gestern verlobt
Simon und Amy sind kein Paar mehr	Simon and Amy are no longer a couple
Simon and Amy are no longer a couple	Simon und Amy sind kein Paar mehr
Hans und Barbara lieben sich	Hans and Barbara love each other
Hans and Barbara love each other	Hans und Barbara lieben sich
Seit wann seid ihr verheiratet?	How long have you been married?
How long have you been married?	Seit wann seid ihr verheiratet?
das Herz	the heart
the heart	das Herz
