Das Schlafzimmer ist möbliert	The bedroom is furnished
The bedroom is furnished	Das Schlafzimmer ist möbliert
Die Miete für das neue Haus ist 800 € pro Monat	The rent for the new house is 800 euros per month
The rent for the new house is 800 euros per month	Die Miete für das neue Haus ist 800 € pro Monat
Heute ist der Umzug von Düsseldorf nach Dortmund	Today is the move from Düsseldorf to Dortmund
Today is the move from Düsseldorf to Dortmund	Heute ist der Umzug von Düsseldorf nach Dortmund
Die Nebenkosten sind die Kosten für Strom, Wasser, Gas und Internet	The additional costs are the costs for electricity, water, gas and internet
The additional costs are the costs for electricity, water, gas and internet	Die Nebenkosten sind die Kosten für Strom, Wasser, Gas und Internet
Tina muss 900 € Kaution für die neue Wohnung bezahlen	Tina has to pay a deposit of €900 for the new apartment
Tina has to pay a deposit of €900 for the new apartment	Tina muss 900 € Kaution für die neue Wohnung bezahlen
Das ist der Grundriss der neuen Wohnung	This is the floor plan of the new apartment
This is the floor plan of the new apartment	Das ist der Grundriss der neuen Wohnung
Gerd braucht eine neue Wohnung, er ist auf Wohnungssuche	Gerd needs a new apartment, he is looking for an apartment
Gerd needs a new apartment, he is looking for an apartment	Gerd braucht eine neue Wohnung, er ist auf Wohnungssuche
Die neue Wohnung hat eine Einbauküche	The new apartment has a fitted kitchen
The new apartment has a fitted kitchen	Die neue Wohnung hat eine Einbauküche
Frieda muss die Wohnung mit neuen Möbeln einrichten	Frieda has to furnish the apartment with new furniture
Frieda has to furnish the apartment with new furniture	Frieda muss die Wohnung mit neuen Möbeln einrichten
Familie Klümper zieht in das neue Haus ein	The Klümper family moves into the new house
The Klümper family moves into the new house	Familie Klümper zieht in das neue Haus ein
Paul und Vera ziehen nächste Woche um	Paul and Vera are moving next week
Paul and Vera are moving next week	Paul und Vera ziehen nächste Woche um
Johannes und Marie mieten die Wohnung	Johannes and Marie rent the apartment
Johannes and Marie rent the apartment	Johannes und Marie mieten die Wohnung
In der Zeitung gibt es viele Wohnungsinserate	There are many adverts for apartments in the newspaper
There are many adverts for apartments in the newspaper	In der Zeitung gibt es viele Wohnungsinserate
Die Wohnung hat drei Zimmer, einen Keller und einen Garten	The apartment has three rooms, a basement and a garden
The apartment has three rooms, a basement and a garden	Die Wohnung hat drei Zimmer, einen Keller und einen Garten
Die neuen Mieter ziehen morgen in das Haus	The new tenants are moving into the house tomorrow
The new tenants are moving into the house tomorrow	Die neuen Mieter ziehen morgen in das Haus
Die Vermieterin überreicht den Schlüssel	The landlady hands over the key
The landlady hands over the key	Die Vermieterin überreicht den Schlüssel
Die Wohnung hat eine gute Ausstattung	The apartment is well equipped
The apartment is well equipped	Die Wohnung hat eine gute Ausstattung
Ich kann den Wortschatz zum Thema Wohnen sicher anwenden	I can safely use the vocabulary on the subject of housing
I can safely use the vocabulary on the subject of housing	Ich kann den Wortschatz zum Thema Wohnen sicher anwenden
Ich kann über die Wohnungssuche erzählen	I can tell about the apartment search
I can tell about the apartment search	Ich kann über die Wohnungssuche erzählen
Badezimmer mit Wanne	Bathroom with tub
Bathroom with tub	Badezimmer mit Wanne
Sie räumt ihre Bude nach der Party auf	She cleans up her place after the party
She cleans up her place after the party	Sie räumt ihre Bude nach der Party auf
Der Keller ist im Untergeschoss. Dort ist es meistens dunkel	The cellar is in the basement. It's mostly dark there
The cellar is in the basement. It's mostly dark there	Der Keller ist im Untergeschoss. Dort ist es meistens dunkel
Toll, hier sind schon Möbel drin. Das Zimmer ist möbliert	Great, there's already furniture in here. The room is furnished
Great, there's already furniture in here. The room is furnished	Toll, hier sind schon Möbel drin. Das Zimmer ist möbliert
Eine Küche gibt es auch schon. Es ist eine Einbauküche	There is also already a kitchen. It's a fitted kitchen
There is also already a kitchen. It's a fitted kitchen	Eine Küche gibt es auch schon. Es ist eine Einbauküche
Sie mieten die Wohnung. Sie sind die Mieter	They rent the apartment. They are the tenants
They rent the apartment. They are the tenants	Sie mieten die Wohnung. Sie sind die Mieter
Ihr gehört die Wohnung. Sie ist die Vermieterin	She owns the apartment. She is the landlady
She owns the apartment. She is the landlady	Ihr gehört die Wohnung. Sie ist die Vermieterin
Wie viele Zimmer hat die Wohnung? – Drei	How many rooms does the apartment have? - Three
How many rooms does the apartment have? - Three	Wie viele Zimmer hat die Wohnung? – Drei
Guten Tag! Ich bin Maria Pauly und ich interessiere mich für die Wohnung. Ab wann kann man sie mieten?	Good day! I'm Maria Pauly and I'm interested in the apartment. When can you rent them?
Good day! I'm Maria Pauly and I'm interested in the apartment. When can you rent them?	Guten Tag! Ich bin Maria Pauly und ich interessiere mich für die Wohnung. Ab wann kann man sie mieten?
Nein, es sind keine Möbel in der Wohnung. Aber es gibt eine Einbauküche	No, there is no furniture in the apartment. But there is a fitted kitchen
No, there is no furniture in the apartment. But there is a fitted kitchen	Nein, es sind keine Möbel in der Wohnung. Aber es gibt eine Einbauküche
Vergleicht eure Antworten mit den anderen Gruppen	Compare your answers with the other groups
Compare your answers with the other groups	Vergleicht eure Antworten mit den anderen Gruppen
Gerd ist auf Wohnungssuche. Er sucht meistens online	Gerd is looking for an apartment. He mostly searches online
Gerd is looking for an apartment. He mostly searches online	Gerd ist auf Wohnungssuche. Er sucht meistens online
Max und Lisa suchen nach Anzeigen für Wohnungen	Max and Lisa are looking for ads for apartments
Max and Lisa are looking for ads for apartments	Max und Lisa suchen nach Anzeigen für Wohnungen
Die Kisten sind gepackt, ich kann ausziehen	The boxes are packed, I can move out
